"type","date","bottom","top","lower","upper","median","mean","std","prob_control","mean_window","sd_window","confidence","date_onset","state","date_of_analysis"
"nowcast",2020-03-17,0.217370054682676,0.495212883224852,0.301176613649842,0.416228306120229,0.359751918974484,0.360564508320975,0.0849988078519031,1,3.03607214428858,2.12466025126149,0.996063527453871,2020-03-22,"SA","2020-04-26"
"nowcast",2020-03-18,0.189044436723982,0.437364302988945,0.269610134011701,0.374209310522631,0.320423953206648,0.321367395746914,0.0756928660925808,1,3.03607214428858,2.12466025126149,0.994964604638346,2020-03-23,"SA","2020-04-26"
"nowcast",2020-03-19,0.189089768069863,0.408994856283298,0.256870343807635,0.347444668081201,0.299940770822986,0.300845941930359,0.0679674347557295,1,3.03607214428858,2.12466025126149,0.993563118611368,2020-03-24,"SA","2020-04-26"
"nowcast",2020-03-20,0.203509523834588,0.396041438512533,0.256985892800123,0.332620068312691,0.296807539812827,0.29775124235993,0.0592928669064841,1,3.03607214428858,2.12466025126149,0.991777414343586,2020-03-25,"SA","2020-04-26"
"nowcast",2020-03-21,0.204207611336884,0.389783915875693,0.256779972107468,0.328249554208385,0.29496095027403,0.298737359840008,0.0576163796515789,1,3.03607214428858,2.12466025126149,0.989504468954056,2020-03-26,"SA","2020-04-26"
"nowcast",2020-03-22,0.203768587131389,0.394474348708396,0.250646027257765,0.32170380212642,0.293739666670276,0.298873241857414,0.0595792175050352,1,3.03607214428858,2.12466025126149,0.98661458523026,2020-03-27,"SA","2020-04-26"
"nowcast",2020-03-23,0.205269319681161,0.40751806371474,0.258254843031349,0.329904807412817,0.301584948815065,0.308811132477042,0.0636864236839049,1,3.03607214428858,2.12466025126149,0.982944897374237,2020-03-28,"SA","2020-04-26"
"nowcast",2020-03-24,0.220504290533696,0.439056096756769,0.261894719969997,0.342184911618959,0.318336044700386,0.328615309415036,0.0695666341242275,1,3.03607214428858,2.12466025126149,0.978291488471416,2020-03-29,"SA","2020-04-26"
"nowcast",2020-03-25,0.231152916667885,0.484508870201662,0.282287323683027,0.373710701470538,0.345954108462867,0.359018356424028,0.080960773512335,1,3.03607214428858,2.12466025126149,0.972399923716755,2020-03-30,"SA","2020-04-26"
"nowcast",2020-03-26,0.23950161863697,0.500569545087645,0.300018313003882,0.397695781661347,0.355460701432691,0.368824262470816,0.0843124216009148,1,3.03607214428858,2.12466025126149,0.96495403920869,2020-03-31,"SA","2020-04-26"
"nowcast",2020-03-27,0.214294934197606,0.476195664676386,0.28297228982925,0.376568450980637,0.337532050217511,0.345268611026479,0.0804223634666069,1,3.03607214428858,2.12466025126149,0.955562918559254,2020-04-01,"SA","2020-04-26"
"nowcast",2020-03-28,0.177941286314693,0.436891241291193,0.259222274386471,0.355330765309967,0.311512495625161,0.313330680099358,0.0788769931273718,1,3.03607214428858,2.12466025126149,0.943746182307727,2020-04-02,"SA","2020-04-26"
"nowcast",2020-03-29,0.132204921253229,0.402338458005519,0.235631673224427,0.339797079980056,0.27940728128407,0.275593832584673,0.0825812844651981,1,3.03607214428858,2.12466025126149,0.928918084553299,2020-04-03,"SA","2020-04-26"
"nowcast",2020-03-30,0.0952062206855323,0.375409184478798,0.18819170757623,0.306538067895155,0.241925231974814,0.240048403529926,0.0871479511581985,1,3.03607214428858,2.12466025126149,0.910371596045881,2020-04-04,"SA","2020-04-26"
"nowcast",2020-03-31,0.077080544734169,0.346468473718144,0.161108806589877,0.275353874301158,0.21647849528143,0.218243182581096,0.0853891512571122,0.999899799599198,3.03607214428858,2.12466025126149,0.887264921854518,2020-04-05,"SA","2020-04-26"
"nowcast",2020-04-01,0.06661908292455,0.345854333106892,0.151379249740202,0.264746211855458,0.209474818801293,0.217869405560597,0.0941275365413371,1,3.03607214428858,2.12466025126149,0.858615341397866,2020-04-06,"SA","2020-04-26"
"nowcast",2020-04-02,0.0382463042314403,0.375098959254054,0.135210965208734,0.252528122960049,0.206274274316309,0.226349062361289,0.141750802111008,0.998797595190381,3.03607214428858,2.12466025126149,0.823310531670517,2020-04-07,"SA","2020-04-26"
